ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-F7-A622-01A	-1085.407268	70.17917315	-1015.228095	0.897837192	HNSC
TCGA-UF-A7JA-01A	-415.679332	-62.78909543	-478.4684274	0.860394235	HNSC
TCGA-CR-6481-01A	367.2512848	2799.022357	3166.273641	0.480335231	HNSC
TCGA-BA-A6DD-01A	11.61796122	1406.940499	1418.55846	0.687166197	HNSC
TCGA-T3-A92N-01A	-700.9931402	720.4295728	19.43643259	0.820883359	HNSC
TCGA-TN-A7HJ-01A	-1067.977208	266.8941833	-801.083025	0.88355467	HNSC
TCGA-UF-A7JC-01A	-1094.903544	-262.4399165	-1357.34346	0.918808627	HNSC
TCGA-P3-A5Q5-01A	-210.5836222	2622.137351	2411.553729	0.574359098	HNSC
TCGA-UF-A71A-06A	-812.6958725	-584.0569855	-1396.752858	0.921076537	HNSC
TCGA-D6-6515-01A	1100.785547	2294.701433	3395.48698	0.450558666	HNSC
TCGA-IQ-7632-01A	-1144.446594	101.8494478	-1042.597146	0.89959894	HNSC
TCGA-BA-A4IG-01A	-1301.139798	698.958076	-602.181722	0.869506561	HNSC
TCGA-D6-6517-01A	-489.1870977	937.6257605	448.4386629	0.783316672	HNSC
TCGA-DQ-7592-01A	-110.8410965	766.5771888	655.7360923	0.764041703	HNSC
TCGA-CN-6988-01A	-1433.416885	-555.0473978	-1988.464283	0.951382171	HNSC
TCGA-CN-4740-01A	1569.607428	1883.311412	3452.91884	0.443016594	HNSC
TCGA-CN-6018-01A	596.2133212	1512.170051	2108.383373	0.610207836	HNSC
TCGA-CR-7367-01A	982.9568248	1068.300162	2051.256987	0.616829637	HNSC
TCGA-P3-A6T6-01A	-1438.095016	-261.1119554	-1699.206971	0.937450532	HNSC
TCGA-CV-5435-01A	-632.2051069	-318.4072053	-950.6123122	0.893620429	HNSC
TCGA-BA-7269-01A	103.679521	468.2871661	571.9666871	0.771916957	HNSC
TCGA-CR-7371-01A	169.1696601	1354.501339	1523.671	0.675875457	HNSC
TCGA-CR-6482-01A	375.2607334	2397.967551	2773.228284	0.530110928	HNSC
TCGA-CV-7440-01A	-815.3431223	384.6714769	-430.6716453	0.856797524	HNSC
TCGA-CV-A6K2-01A	-438.4353929	958.3747844	519.9393915	0.77674942	HNSC
TCGA-CV-5441-01A	-387.4538257	441.5446866	54.09086092	0.817967661	HNSC
TCGA-CV-7178-01A	761.6088538	1374.769089	2136.377943	0.606947153	HNSC
TCGA-BA-5555-01A	-589.0057765	590.8260125	1.820236002	0.822357383	HNSC
TCGA-UF-A7J9-01A	668.7131532	604.7218099	1273.434963	0.702485349	HNSC
TCGA-CV-7091-01A	-39.43775053	671.2125013	631.7747508	0.766306183	HNSC
TCGA-CV-5442-01A	-1796.821034	-379.3179694	-2176.139004	0.959505395	HNSC
TCGA-CN-6016-01A	1188.101286	1334.980991	2523.082277	0.560881294	HNSC
TCGA-CV-6940-01A	-521.0310336	138.7089787	-382.3220549	0.853116305	HNSC
TCGA-QK-A6IG-01A	-464.2813142	1053.419138	589.1378236	0.77031215	HNSC
TCGA-CN-6996-01A	363.5508693	1848.464303	2212.015172	0.598086167	HNSC
TCGA-CN-5361-01A	750.2482714	673.9621654	1424.210437	0.686563224	HNSC
TCGA-IQ-A61E-01A	-519.6985329	976.470744	456.7722111	0.782555675	HNSC
TCGA-RS-A6TO-01A	-135.0598159	1059.985841	924.9260251	0.737958847	HNSC
TCGA-CN-A641-01A	-1154.451225	52.1717621	-1102.279463	0.903390304	HNSC
TCGA-CN-4741-01A	-857.2421913	402.1021003	-455.1400909	0.858644056	HNSC
TCGA-CN-5366-01A	205.6728289	854.3316181	1060.004447	0.724433861	HNSC
TCGA-CN-4731-01A	-290.9176137	488.9760013	198.0583876	0.805629001	HNSC
TCGA-CQ-A4CG-01A	-398.4023579	-35.74599083	-434.1483487	0.85706057	HNSC
TCGA-CX-7219-01A	525.4440355	1283.778277	1809.222312	0.644398384	HNSC
